"xx","yy","line","name","jjj","date"
0.822458484264007,-0.425083501905255,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.801909959072306,-0.439290586630286,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.78237380627558,-0.451405184174625,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.764517468414497,-0.461830476303458,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.745728577925031,-0.471902812966933,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.728240109140519,-0.480354706684857,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.711732605729877,-0.487721691678036,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.694158501798338,-0.494480962420935,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.675852660300136,-0.501091405184175,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.658792274000144,-0.507072592805342,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.639960312538757,-0.512340319980156,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.620860721815701,-0.517425275951879,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.601265037827111,-0.52139402207615,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.583901773533424,-0.52387448840382,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.567530695770805,-0.52387448840382,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.551432469304229,-0.524829467939973,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.536152796725785,-0.52387448840382,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.522510231923602,-0.523679594620932,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.510459299681674,-0.523647112323784,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.501731556301816,-0.521775632280407,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.491132332878581,-0.521145975443383,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.480218281036835,-0.521145975443383,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.468329760280647,-0.520951081660495,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.452478399272397,-0.519508867667122,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.43656207366985,-0.516598453842656,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.418708108428732,-0.517349783498428,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.404554517787806,-0.530905656417253,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.390309378163095,-0.547726972670862,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.375950107191581,-0.562853244981485,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.351742955261796,-0.581173260572988,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.329955174429936,-0.597349444552719,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.30619031377899,-0.613659618008185,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.281080843198521,-0.629934427672402,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.2556275579809,-0.644355388813097,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.227830832196453,-0.658275755842098,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.198755115961801,-0.672066848567531,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.167273002880097,-0.683795664696074,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.138069751985168,-0.691713016406059,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.106412005457026,-0.70668485675307,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.0756577665172481,-0.723679594620931,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.044689735003514,-0.734548761833891,1,"la_tetera.JPG",1,2023-04-26 10:16:29
0.0148362892223738,-0.742070259208731,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.0136425648021828,-0.748703956343792,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.0402455661664393,-0.753556811537712,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.0682128240109141,-0.755798090040928,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.0940287543288908,-0.755903032847098,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.120054570259209,-0.755798090040928,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.146521145975443,-0.753615279672578,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.169345750044487,-0.751171481108014,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.189934818857056,-0.747764135212975,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.209917551456196,-0.744053621211223,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.233050596120766,-0.739427012278308,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.252777236406159,-0.734749561488988,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.276944065484311,-0.728512960436562,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.301601738163812,-0.720226365519681,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.3275626852331,-0.709977889636355,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.351783278113428,-0.699961021243423,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.376299571905725,-0.687585266030014,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.399818099135971,-0.671305138699409,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.420315019223614,-0.649799495638513,1,"la_tetera.JPG",1,2023-04-26 10:16:29
-0.441824205807835,-0.625609043071526,1,"la_tetera.JPG",1,2023-04-26 10:16:29
